"id","System","age","sex","occupation","income","region","Taxi_frequency","Taxi_aim","RS_experience","Price","Safety","Dispatch","License","Service","Time","choice"
"70","iPhone","30s","Female","Full-time housewife (husband)","Less than ¥1M","Population of 500K or more","Do not use","Do not use","No","¥1200","3%","App","Yes","Yes","7 min",0
"76","Windows ","40s","Male","Self-employed","Less than ¥1M","Population of 500K or more","Do not use","Do not use","No","¥1200","3%","App","Yes","Yes","7 min",0
"77","Windows ","30s","Male","Unemployed (including after retirement)","¥2M or more and less than ¥3M","Population of Less than 100K","Do not use","Do not use","No","¥1500","1%","App","No","Yes","10 min",0
"78","Windows ","40s","Male","Full-time employee (mainly private companies)","Prefer not to answer","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1200","3%","Phone","No","No","7 min",1
"82","Macintosh","50s","Male","Other","Less than ¥1M","Population of 500K or more","Do not use","Do not use","No","¥1200","1%","App","No","No","10 min",0
"83","iPhone","30s","Male","Full-time employee (mainly private companies)","¥6M or more and less than ¥7M","Population of 500K or more","Several times a year","Leisure","No","¥1200","3%","Phone","Yes","No","7 min",0
"85","iPhone","40s","Male","Full-time employee (mainly private companies)","¥5M or more and less than ¥6M","Population of 100K or more and less than 500K","About once a week","Moving for work","No","¥1500","1%","Phone","No","Yes","7 min",1
"86","Android ","20s","Female","Full-time employee (mainly private companies)","¥4M or more and less than ¥5M","Population of Less than 100K","Several times a year","Other","No","¥1500","3%","App","Yes","No","7 min",0
"90","Android ","60s","Male","Full-time employee (mainly private companies)","Prefer not to answer","Population of Less than 100K","Do not use","Do not use","No","¥1200","3%","App","Yes","Yes","7 min",1
"92","Windows ","50s","Male","Self-employed","¥5M or more and less than ¥6M","Population of 500K or more","Several times a year","Moving for work","No","¥1500","1%","App","No","Yes","7 min",1
"97","iPhone","20s","Female","Full-time employee (mainly private companies)","¥3M or more and less than ¥4M","Population of 500K or more","Do not use","Do not use","No","¥1200","3%","App","No","No","7 min",1
"99","Windows ","60s","Male","Unemployed (including after retirement)","Less than ¥1M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1500","3%","Phone","Yes","No","7 min",0
"101","Android ","40s","Male","Self-employed","¥5M or more and less than ¥6M","Population of Less than 100K","Several times a year","Leisure","No","¥1500","1%","Phone","No","Yes","10 min",0
"102","Windows ","50s","Male","Part-time job","¥2M or more and less than ¥3M","Population of 500K or more","Several times a month","Visit to hospital","No","¥1500","1%","App","Yes","Yes","10 min",1
"103","Windows ","40s","Male","Full-time employee (mainly private companies)","¥4M or more and less than ¥5M","Population of Less than 100K","Several times a year","Moving for work","No","¥1500","3%","App","No","Yes","7 min",0
"106","Windows ","40s","Male","Full-time employee (mainly private companies)","Prefer not to answer","Population of 500K or more","Several times a year","Leisure","No","¥1500","1%","App","Yes","Yes","7 min",1
"108","Android ","40s","Male","Full-time employee (mainly private companies)","¥3M or more and less than ¥4M","Population of 100K or more and less than 500K","Several times a year","Leisure","No","¥1200","1%","Phone","No","Yes","10 min",0
"113","Android ","50s","Male","Full-time employee (mainly private companies)","¥5M or more and less than ¥6M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1200","1%","App","No","No","7 min",1
"118","Windows ","50s","Male","Public servant","¥7M or more and less than ¥8M","Population of 500K or more","Several times a year","Shopping","No","¥1500","1%","Phone","Yes","Yes","7 min",1
"123","Android ","50s","Male","Full-time employee (mainly private companies)","¥5M or more and less than ¥6M","Population of 100K or more and less than 500K","Several times a year","Moving for work","No","¥1500","3%","Phone","Yes","Yes","10 min",0
"124","Windows ","40s","Female","Full-time employee (mainly private companies)","¥2M or more and less than ¥3M","Population of 500K or more","Do not use","Do not use","No","¥1200","3%","App","No","No","7 min",1
"125","Android ","60s","Male","Unemployed (including after retirement)","¥6M or more and less than ¥7M","Population of 500K or more","Several times a year","Leisure","No","¥1500","3%","App","Yes","No","7 min",0
"126","iPhone","20s","Female","Prefer not to answer","Prefer not to answer","Prefer not to answer","Do not use","Do not use","No","¥1500","1%","Phone","Yes","No","10 min",1
"127","iPhone","50s","Male","Full-time employee (mainly private companies)","¥5M or more and less than ¥6M","Population of 100K or more and less than 500K","Several times a year","Visit to hospital","No","¥1500","3%","App","Yes","Yes","10 min",0
"130","Windows ","30s","Male","Full-time employee (mainly private companies)","¥3M or more and less than ¥4M","Population of 100K or more and less than 500K","Several times a year","Moving for work","No","¥1500","3%","Phone","Yes","Yes","10 min",0
"131","Windows ","50s","Male","Full-time employee (mainly private companies)","Prefer not to answer","Population of Less than 100K","Several times a year","Leisure","No","¥1200","1%","Phone","Yes","Yes","10 min",1
"132","Windows ","40s","Male","Full-time employee (mainly private companies)","¥4M or more and less than ¥5M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1500","1%","App","Yes","No","10 min",0
"134","Android ","30s","Male","Unemployed (including after retirement)","Less than ¥1M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1500","3%","Phone","No","No","10 min",0
"137","iPhone","40s","Female","Full-time employee (mainly private companies)","¥2M or more and less than ¥3M","Population of 500K or more","Several times a year","Other","No","¥1500","1%","App","Yes","Yes","10 min",0
"139","iPhone","30s","Female","Full-time housewife (husband)","Less than ¥1M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1500","1%","Phone","No","Yes","10 min",0
"141","Windows ","60s","Male","Public servant","¥10M or more","Population of Less than 100K","Several times a year","Moving for work","No","¥1500","1%","App","Yes","No","7 min",1
"142","iPhone","30s","Male","Full-time employee (mainly private companies)","¥2M or more and less than ¥3M","Population of Less than 100K","Do not use","Do not use","No","¥1200","1%","App","No","Yes","7 min",1
"143","Windows ","50s","Female","Unemployed (including after retirement)","¥2M or more and less than ¥3M","Population of 500K or more","Do not use","Do not use","No","¥1500","3%","App","Yes","No","7 min",0
"144","Android ","50s","Male","Part-time job","¥2M or more and less than ¥3M","Population of 100K or more and less than 500K","Several times a year","Leisure","No","¥1500","3%","Phone","Yes","No","7 min",0
"145","Windows ","40s","Male","Full-time employee (mainly private companies)","¥6M or more and less than ¥7M","Population of 500K or more","Several times a year","Leisure","No","¥1500","3%","Phone","No","No","7 min",0
"146","Windows ","30s","Male","Unemployed (including after retirement)","Less than ¥1M","Population of 100K or more and less than 500K","Several times a year","Leisure","No","¥1200","1%","Phone","No","No","10 min",1
"149","Android ","50s","Female","Temporary staff","¥1M or more and less than ¥2M","Population of 500K or more","Several times a year","Leisure","No","¥1200","1%","Phone","Yes","No","7 min",1
"153","Android ","30s","Female","Full-time housewife (husband)","Less than ¥1M","Population of 500K or more","Several times a year","Leisure","No","¥1200","3%","App","No","No","10 min",0
"154","Android ","40s","Male","Full-time employee (mainly private companies)","¥1M or more and less than ¥2M","Population of Less than 100K","Do not use","Do not use","No","¥1500","3%","Phone","Yes","No","7 min",1
"156","Android ","40s","Male","Full-time employee (mainly private companies)","¥5M or more and less than ¥6M","Population of 100K or more and less than 500K","About once a week","Moving for work","No","¥1500","3%","App","Yes","No","10 min",0
"162","Android ","50s","Female","Part-time job","Less than ¥1M","Population of 500K or more","Do not use","Do not use","No","¥1200","3%","Phone","No","Yes","10 min",0
"163","Windows ","50s","Male","Agriculture, forestry and fisheries","Less than ¥1M","Population of Less than 100K","Do not use","Do not use","No","¥1500","1%","App","Yes","No","10 min",1
"164","Android ","40s","Female","Self-employed","Prefer not to answer","Population of 500K or more","Several times a month","Leisure","No","¥1200","3%","Phone","Yes","Yes","7 min",1
"166","Android ","40s","Male","Full-time employee (mainly private companies)","Prefer not to answer","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1200","1%","Phone","No","No","7 min",1
"167","Android ","40s","Female","Full-time housewife (husband)","¥9M or more and less than ¥10M","Population of 100K or more and less than 500K","Several times a year","Leisure","No","¥1200","1%","Phone","Yes","Yes","7 min",1
"168","Android ","50s","Female","Full-time employee (mainly private companies)","¥5M or more and less than ¥6M","Population of 500K or more","Do not use","Do not use","No","¥1200","3%","App","No","Yes","10 min",1
"170","Android ","50s","Male","Full-time employee (mainly private companies)","¥2M or more and less than ¥3M","Population of Less than 100K","Do not use","Do not use","No","¥1500","3%","Phone","No","No","7 min",0
"171","Windows ","50s","Male","Self-employed","¥1M or more and less than ¥2M","Population of 500K or more","Do not use","Do not use","No","¥1500","1%","App","Yes","No","7 min",1
"172","Windows ","40s","Male","Unemployed (including after retirement)","Less than ¥1M","Population of Less than 100K","Do not use","Do not use","No","¥1200","1%","Phone","No","No","10 min",1
"177","Macintosh","50s","Female","Full-time housewife (husband)","Less than ¥1M","Population of 500K or more","Several times a year","Other","No","¥1500","1%","Phone","No","Yes","10 min",0
"179","Windows ","50s","Male","Self-employed","¥3M or more and less than ¥4M","Population of Less than 100K","Several times a year","Visit to hospital","No","¥1500","3%","App","Yes","No","10 min",0
"180","iPhone","50s","Female","Full-time housewife (husband)","¥9M or more and less than ¥10M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1500","1%","Phone","No","Yes","10 min",0
"182","iPhone","40s","Male","Full-time employee (mainly private companies)","¥3M or more and less than ¥4M","Population of 100K or more and less than 500K","Several times a year","Leisure","No","¥1200","1%","App","Yes","Yes","7 min",1
"183","Windows ","60s","Male","Public servant","¥7M or more and less than ¥8M","Population of 500K or more","Several times a month","Moving for work","No","¥1200","1%","Phone","No","Yes","10 min",0
"184","Windows ","40s","Male","Full-time employee (mainly private companies)","¥5M or more and less than ¥6M","Population of 100K or more and less than 500K","Several times a year","Moving for work","No","¥1200","1%","Phone","Yes","No","10 min",1
"186","Windows ","60s","Male","Self-employed","¥3M or more and less than ¥4M","Population of 100K or more and less than 500K","Several times a month","Leisure","No","¥1500","3%","Phone","Yes","Yes","7 min",0
"188","iPhone","30s","Male","Full-time employee (mainly private companies)","¥4M or more and less than ¥5M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1200","3%","Phone","No","Yes","7 min",1
"192","iPhone","30s","Female","Full-time housewife (husband)","Less than ¥1M","Population of 500K or more","Do not use","Do not use","No","¥1500","1%","Phone","Yes","Yes","10 min",1
"193","Android ","30s","Male","Full-time employee (mainly private companies)","¥2M or more and less than ¥3M","Population of Less than 100K","Do not use","Do not use","No","¥1500","3%","Phone","No","Yes","10 min",0
"194","Windows ","50s","Male","Part-time job","Prefer not to answer","Population of 500K or more","Several times a year","Leisure","No","¥1200","1%","App","No","No","7 min",0
"197","iPhone","60s","Female","Public servant","¥7M or more and less than ¥8M","Population of 100K or more and less than 500K","Several times a year","Other","No","¥1500","3%","Phone","Yes","No","7 min",0
"198","Windows ","50s","Male","Unemployed (including after retirement)","Less than ¥1M","Population of Less than 100K","Do not use","Do not use","No","¥1200","1%","Phone","Yes","No","10 min",0
"199","Windows ","30s","Male","Full-time employee (mainly private companies)","¥6M or more and less than ¥7M","Population of Less than 100K","Several times a month","Moving for work","No","¥1200","3%","App","Yes","Yes","7 min",0
"201","Android ","40s","Female","Part-time job","Less than ¥1M","Population of Less than 100K","Do not use","Do not use","No","¥1200","1%","Phone","No","No","7 min",1
"204","Android ","40s","Male","Unemployed (including after retirement)","Less than ¥1M","Population of 500K or more","Several times a year","Other","No","¥1200","1%","Phone","No","Yes","10 min",1
"205","Windows ","40s","Male","Full-time employee (mainly private companies)","¥5M or more and less than ¥6M","Population of 100K or more and less than 500K","Several times a year","Moving for work","No","¥1500","1%","App","No","Yes","7 min",1
"209","iPhone","30s","Female","Full-time housewife (husband)","¥4M or more and less than ¥5M","Population of 500K or more","Do not use","Do not use","No","¥1200","1%","App","No","Yes","7 min",1
"211","Android ","60s","Male","Self-employed","Prefer not to answer","Population of 100K or more and less than 500K","Several times a year","Leisure","No","¥1200","1%","Phone","Yes","No","7 min",1
"213","Windows ","40s","Male","Full-time employee (mainly private companies)","¥2M or more and less than ¥3M","Population of 500K or more","Do not use","Do not use","No","¥1500","1%","App","No","Yes","10 min",0
"214","Android ","40s","Female","Unemployed (including after retirement)","Less than ¥1M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1500","3%","App","No","No","7 min",0
"219","Windows ","40s","Male","Full-time employee (mainly private companies)","¥2M or more and less than ¥3M","Population of 100K or more and less than 500K","Several times a month","Moving for work","No","¥1500","3%","Phone","Yes","No","10 min",0
"223","iPhone","40s","Male","Full-time employee (mainly private companies)","¥10M or more","Population of 500K or more","Several times a year","Moving for work","Yes","¥1200","1%","App","Yes","Yes","7 min",1
"225","Android ","40s","Female","Temporary staff","¥1M or more and less than ¥2M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1500","1%","Phone","Yes","Yes","10 min",0
"231","Windows ","40s","Male","Full-time employee (mainly private companies)","¥5M or more and less than ¥6M","Population of Less than 100K","Do not use","Do not use","No","¥1500","3%","App","No","Yes","10 min",0
"232","Windows ","30s","Male","Full-time employee (mainly private companies)","¥8M or more and less than ¥9M","Population of 500K or more","Do not use","Do not use","No","¥1200","3%","Phone","No","No","7 min",1
"235","Android ","40s","Male","Self-employed","Less than ¥1M","Population of Less than 100K","Several times a year","Shopping","No","¥1500","1%","Phone","No","Yes","10 min",1
"237","Windows ","20s","Female","Full-time employee (mainly private companies)","¥10M or more","Population of 500K or more","Do not use","Do not use","No","¥1500","3%","App","Yes","Yes","7 min",1
"238","Android ","60s","Female","Full-time housewife (husband)","¥1M or more and less than ¥2M","Population of 500K or more","Several times a year","Leisure","No","¥1500","1%","Phone","Yes","No","7 min",0
"242","Android ","40s","Female","Full-time housewife (husband)","Prefer not to answer","Population of 500K or more","Several times a year","Shopping","No","¥1200","3%","App","Yes","Yes","7 min",0
"244","Android ","60s","Male","Unemployed (including after retirement)","Less than ¥1M","Population of 100K or more and less than 500K","Several times a year","Other","No","¥1200","3%","Phone","Yes","Yes","7 min",0
"249","Macintosh","30s","Male","Public servant","¥8M or more and less than ¥9M","Population of 500K or more","Several times a year","Moving for work","No","¥1500","3%","Phone","No","No","10 min",0
"250","iPhone","30s","Male","Full-time employee (mainly private companies)","Prefer not to answer","Population of 500K or more","Several times a month","Moving for work","No","¥1200","3%","App","No","Yes","7 min",0
"253","Windows ","60s","Male","Unemployed (including after retirement)","Prefer not to answer","Population of Less than 100K","Several times a year","Leisure","No","¥1500","1%","App","Yes","Yes","10 min",1
"256","Android ","50s","Female","Full-time housewife (husband)","Less than ¥1M","Population of Less than 100K","Do not use","Do not use","No","¥1500","3%","App","No","Yes","7 min",0
"257","Windows ","40s","Male","Full-time employee (mainly private companies)","¥5M or more and less than ¥6M","Population of 100K or more and less than 500K","Several times a month","Moving for work","No","¥1200","1%","App","No","No","10 min",1
"261","Android ","20s","Female","Unemployed (including after retirement)","Less than ¥1M","Population of Less than 100K","Do not use","Do not use","No","¥1200","3%","App","Yes","Yes","7 min",1
"262","Windows ","70s","Male","Unemployed (including after retirement)","¥2M or more and less than ¥3M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1500","1%","App","No","No","10 min",0
"264","iPhone","30s","Female","Unemployed (including after retirement)","Less than ¥1M","Population of Less than 100K","Do not use","Do not use","No","¥1200","3%","Phone","No","Yes","7 min",1
"265","Android ","40s","Male","Unemployed (including after retirement)","Less than ¥1M","Population of 500K or more","Do not use","Do not use","No","¥1500","3%","App","Yes","No","7 min",0
"267","Android ","60s","Male","Full-time housewife (husband)","¥2M or more and less than ¥3M","Population of Less than 100K","Several times a year","Leisure","No","¥1200","1%","Phone","No","Yes","7 min",1
"268","iPhone","50s","Male","Full-time employee (mainly private companies)","Prefer not to answer","Population of Less than 100K","Several times a year","Moving for work","No","¥1200","1%","App","Yes","Yes","7 min",1
"270","iPhone","40s","Male","Full-time employee (mainly private companies)","¥2M or more and less than ¥3M","Population of 500K or more","Do not use","Do not use","No","¥1500","1%","App","Yes","Yes","10 min",0
"271","Android ","60s","Female","Full-time housewife (husband)","¥2M or more and less than ¥3M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1500","1%","App","Yes","Yes","7 min",1
"274","Windows ","50s","Male","Part-time job","Less than ¥1M","Population of Less than 100K","Do not use","Do not use","No","¥1200","1%","Phone","Yes","Yes","7 min",1
"276","Windows ","60s","Female","Full-time employee (mainly private companies)","¥3M or more and less than ¥4M","Population of 500K or more","Do not use","Do not use","No","¥1500","3%","Phone","Yes","Yes","10 min",0
"277","Android ","40s","Female","Part-time job","Less than ¥1M","Prefer not to answer","Do not use","Do not use","No","¥1200","3%","Phone","No","No","10 min",1
"278","Android ","40s","Female","Unemployed (including after retirement)","Less than ¥1M","Prefer not to answer","Do not use","Do not use","No","¥1200","1%","App","No","No","7 min",1
"283","Android ","40s","Female","Full-time housewife (husband)","Less than ¥1M","Population of 100K or more and less than 500K","Several times a year","Other","No","¥1500","1%","App","Yes","Yes","7 min",1
"284","Android ","40s","Female","Part-time job","¥2M or more and less than ¥3M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1200","1%","App","Yes","Yes","10 min",1
"285","Android ","50s","Male","Full-time employee (mainly private companies)","¥2M or more and less than ¥3M","Population of 100K or more and less than 500K","Several times a year","Moving for work","No","¥1200","3%","Phone","Yes","Yes","7 min",0
"286","Android ","40s","Female","Full-time employee (mainly private companies)","¥2M or more and less than ¥3M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1500","1%","Phone","No","No","10 min",0
"287","Windows ","50s","Male","Public servant","¥6M or more and less than ¥7M","Population of 500K or more","Do not use","Do not use","No","¥1500","3%","App","Yes","Yes","7 min",1
"288","Android ","70s","Female","Full-time housewife (husband)","¥3M or more and less than ¥4M","Population of Less than 100K","Do not use","Do not use","No","¥1500","3%","App","Yes","No","7 min",1
"290","iPhone","20s","Male","Full-time employee (mainly private companies)","¥2M or more and less than ¥3M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1200","1%","Phone","No","No","7 min",0
"292","Windows ","60s","Male","Unemployed (including after retirement)","Less than ¥1M","Population of 500K or more","Do not use","Do not use","No","¥1200","3%","Phone","No","No","10 min",0
"294","Android ","50s","Male","Full-time employee (mainly private companies)","¥6M or more and less than ¥7M","Population of 500K or more","Do not use","Do not use","No","¥1500","1%","Phone","Yes","No","7 min",1
"298","Android ","40s","Female","Part-time job","Less than ¥1M","Population of 500K or more","About once a week","Leisure","No","¥1500","1%","Phone","Yes","No","10 min",0
"300","Android ","60s","Female","Full-time housewife (husband)","Less than ¥1M","Population of 500K or more","Several times a year","Other","No","¥1500","3%","Phone","No","No","10 min",0
"303","Windows ","40s","Male","Self-employed","¥3M or more and less than ¥4M","Population of 100K or more and less than 500K","Several times a month","Shopping","No","¥1200","3%","App","No","Yes","10 min",1
"304","Windows ","50s","Male","Unemployed (including after retirement)","Less than ¥1M","Population of 500K or more","Several times a year","Other","No","¥1200","3%","Phone","Yes","No","7 min",1
"307","iPhone","50s","Male","Full-time employee (mainly private companies)","¥4M or more and less than ¥5M","Population of Less than 100K","Several times a year","Other","No","¥1500","3%","Phone","No","Yes","7 min",1
"308","iPhone","40s","Male","Full-time employee (mainly private companies)","Less than ¥1M","Population of 100K or more and less than 500K","Several times a year","Moving for work","No","¥1500","1%","Phone","No","No","10 min",1
"316","Android ","40s","Female","Part-time job","Less than ¥1M","Population of 500K or more","Several times a year","Visit to hospital","No","¥1500","1%","Phone","No","No","10 min",0
"318","iPhone","50s","Female","Self-employed","¥4M or more and less than ¥5M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1500","1%","Phone","Yes","Yes","10 min",1
"322","Android ","40s","Male","Public servant","¥6M or more and less than ¥7M","Population of 500K or more","Do not use","Do not use","No","¥1200","1%","App","Yes","No","10 min",1
"326","Windows ","40s","Male","Full-time employee (mainly private companies)","¥3M or more and less than ¥4M","Population of 500K or more","Several times a year","Leisure","No","¥1500","3%","Phone","No","No","7 min",1
"331","Windows ","60s","Male","Unemployed (including after retirement)","Less than ¥1M","Population of 500K or more","Do not use","Do not use","No","¥1500","3%","Phone","Yes","No","10 min",0
"332","Android ","20s","Male","Part-time job","Prefer not to answer","Population of Less than 100K","Do not use","Do not use","No","¥1200","1%","App","Yes","No","10 min",0
"333","Windows ","40s","Male","Part-time job","¥2M or more and less than ¥3M","Population of 100K or more and less than 500K","Several times a year","Commuting","No","¥1200","1%","App","Yes","No","10 min",0
"335","Android ","50s","Male","Full-time employee (mainly private companies)","¥7M or more and less than ¥8M","Population of 500K or more","Several times a month","Moving for work","No","¥1200","3%","Phone","Yes","No","10 min",1
"336","Windows ","50s","Male","Unemployed (including after retirement)","¥1M or more and less than ¥2M","Population of 500K or more","Several times a year","Other","No","¥1500","3%","App","Yes","No","7 min",0
